06-06 23:54:24.392  1612 21259 V FA-SVC  :       set_timestamp_millis: 1780775664370
06-06 23:54:24.392  1612 21259 V FA-SVC  :       name: non_personalized_ads(_npa)
06-06 23:54:24.392  1612 21259 V FA-SVC  :       string_value: 
06-06 23:54:24.392  1612 21259 V FA-SVC  :       int_value: 0
06-06 23:54:24.392  1612 21259 V FA-SVC  :     }
06-06 23:54:24.392  1612 21259 V FA-SVC  :     event {
06-06 23:54:24.392  1612 21259 V FA-SVC  :       name: screen_view(_vs)
06-06 23:54:24.392  1612 21259 V FA-SVC  :       timestamp_millis: 1780775661587
06-06 23:54:24.392  1612 21259 V FA-SVC  :       corrected_timestamp_millis: 1780775666035
06-06 23:54:24.392  1612 21259 V FA-SVC  :       previous_timestamp_millis: 1780775459471
06-06 23:54:24.392  1612 21259 V FA-SVC  :       param {
06-06 23:54:24.392  1612 21259 V FA-SVC  :         name: ga_event_origin(_o)
06-06 23:54:24.392  1612 21259 V FA-SVC  :         string_value: auto
06-06 23:54:24.392  1612 21259 V FA-SVC  :       }
06-06 23:54:24.392  1612 21259 V FA-SVC  :       param {
06-06 23:54:24.392  1612 21259 V FA-SVC  :         name: _r
06-06 23:54:24.392  1612 21259 V FA-SVC  :         int_value: 1
06-06 23:54:24.392  1612 21259 V FA-SVC  :       }
06-06 23:54:24.392  1612 21259 V FA-SVC  :       param {
06-06 23:54:24.392  1612 21259 V FA-SVC  :         name: ga_screen_class(_sc)
06-06 23:54:24.392  1612 21259 V FA-SVC  :         string_value: MainActivity
06-06 23:54:24.392  1612 21259 V FA-SVC  :       }
06-06 23:54:24.392  1612 21259 V FA-SVC  :       param {
06-06 23:54:24.392  1612 21259 V FA-SVC  :         name: ga_screen_id(_si)
06-06 23:54:24.392  1612 21259 V FA-SVC  :         int_value: 2288007157000225042
06-06 23:54:24.392  1612 21259 V FA-SVC  :       }
06-06 23:54:24.392  1612 21259 V FA-SVC  :       param {
06-06 23:54:24.392  1612 21259 V FA-SVC  :         name: _dbg
06-06 23:54:24.392  1612 21259 V FA-SVC  :         int_value: 1
06-06 23:54:24.392  1612 21259 V FA-SVC  :       }
06-06 23:54:24.392  1612 21259 V FA-SVC  :     }
06-06 23:54:24.392  1612 21259 V FA-SVC  :     event {
06-06 23:54:24.392  1612 21259 V FA-SVC  :       name: app_open
06-06 23:54:24.392  1612 21259 V FA-SVC  :       timestamp_millis: 1780775664133
06-06 23:54:24.392  1612 21259 V FA-SVC  :       corrected_timestamp_millis: 1780775668581
06-06 23:54:24.392  1612 21259 V FA-SVC  :       previous_timestamp_millis: 1780775457293
06-06 23:54:24.392  1612 21259 V FA-SVC  :       param {
