
   INFO  Server running on [http://127.0.0.1:8001].  

  Press Ctrl+C to stop the server

  2026-07-01 10:21:36 ............................................ ~ 504.83ms
  2026-07-01 10:21:36 .............................................. ~ 0.01ms
  2026-07-01 10:21:37 ............................................ ~ 504.32ms
  2026-07-01 10:21:37 .............................................. ~ 0.01ms
  2026-07-01 10:21:37 .............................................. ~ 0.01ms
  2026-07-01 10:21:37 .............................................. ~ 0.01ms
  2026-07-01 10:21:37 .............................................. ~ 0.01ms
  2026-07-01 10:21:37 .............................................. ~ 0.01ms
  2026-07-01 10:21:37 ............................................ ~ 500.36ms
  2026-07-01 10:21:37 .............................................. ~ 0.02ms
  2026-07-01 10:22:01 ............................................ ~ 504.95ms
